Age,Gender,Education,Live with,Conflict with law,Most used drugs,Motive about drug,motivation by friends,Spend most time,Mental/emotional problem,Suicidal thoughts,Family relationship,Financials of family,Addicted person in family,no. of friends,Withdrawal symptoms,Satisfied with workplace,Case in court,Living with drug user,Smoking,Easy to control use of drug,Frequency of drug usage,Taken drug while experiencing stress
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,Yes,Cigarette,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Rich / Strong,Yes,Many (more than 5),Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,Yes,Alcohol,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Rich / Strong,Yes,Many (more than 5),Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, every day.","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Alone,Tension/Anxiety,No,Satisfactory,Medium,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,"Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Tension/Anxiety, Anger",No,Average,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Poor / weak,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Medium,No,Many (more than 5),I have no idea,No,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Anger",No,Average,Poor / weak,No,Few (1-4),I have no idea,No,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Friends,"Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"Yes, often they do",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",Yes,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,Anger,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Cigarette,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,No,Few (1-4),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
15 to 22 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,No,Many (more than 5),I have no idea,No,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,Yes,Few (1-4),I have no idea,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,Social trend,"No, they don't",Alone,Tension/Anxiety,Yes,Satisfactory,Poor / weak,No,Few (1-4),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Poor / weak,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,With Family/ Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Phensedyl,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Few (1-4),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Cigarette,Social trend,"Yes, often they do",Friends,Anger,No,Satisfactory,Medium,No,Few (1-4),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,Yaba,Social trend,"Yes, often they do",Alone,Tension/Anxiety,No,Average,Medium,No,Few (1-4),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,"Disease, Should avoid","No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Satisfactory,Solvent,No,Few (1-4),I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,Cigarette,"Relief Stress, Curiosity, Social Trend","Yes, often they do",Friends,Tension/Anxiety,Yes,Communcaiton gap,Medium,Yes,Many (more than 5),No,No,No,Yes,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,Depression/Anger/Anxiety,No,Satisfactory,Medium,Yes,Many (more than 5),No,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,"Relief Stress, I don't take drugs",I do not use drugs,Friends,Depression,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,Yes,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,Depression/Tension/Anxiety,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,Yes,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,None,No,Satisfactory,Medium,Yes,Many (more than 5),No,Yes,No,Yes,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,Depression,No,Satisfactory,Medium,Not sure,None,No,Yes,No,Yes,"No, I don't",Not applicable,Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,None,No,Average,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,Depression/Tension/Guilt/Anger/Others,No,Satisfactory,Medium,Not sure,Few (1-4),No,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,None,No,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,Yes,"Yes, every day.","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,Anger/None,No,Satisfactory,Rich / Strong,No,Few (1-4),I have no idea,Yes,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,None,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,None,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Cigarette,Relief Stress,Others,Friends,None,No,Satisfactory,Medium,Not sure,Few (1-4),I have no idea,Yes,No,No,"Yes, occasionally",Not applicable,Occasionally,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Friends,Depression/Tension,No,Satisfactory,Medium,No,Few (1-4),I have no idea,No,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Cigarette,"Relief Stress, Curiosity, Social Trend","Yes, often they do",Alone,Depression/Tension/Anxiety,No,Satisfactory,Poor / weak,No,None,Yes,Yes,Yes,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Friends,None,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,None,No,Satisfactory,Medium,Yes,Few (1-4),I have no idea,Yes,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Friends,None,No,Satisfactory,Medium,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,Cigarette,Recreation,"Yes, often they do",Family/ Relatives,Depression,No,Communcaiton gap,Medium,Yes,Few (1-4),No,Yes,No,No,Yes/every day.,"Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,Depression/Tension,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,No,Cigarette,Relief Stress,"Yes, often they do",Friends,Depression/Anger,No,Average,Poor / weak,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,None,Yes,Average,Poor / weak,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,Tension/Guilt/Anxiety,No,Average,Poor / weak,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,Cigarette,I don't take drugs,I do not use drugs,Alone,None,No,Average,Medium,No,Few (1-4),No,No,No,No,"Yes, every day.",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,H.S.C / A levels,With Family/ Relatives,No,Cigarette,Social Trend,"Yes, often they do",Friends,Depression/Tension/Anger,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/ Relatives,No,I don't take drugs,I don't take drugs,I do not use drugs,Family/ Relatives,Depression/Tension/Guilt/Anger/Anxiety/Inferiority/Others,Yes,Communcaiton gap,Medium,No,Few (1-4),I have no idea,No,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Friends,Depression/Tension/Anger/Anxiety/Others,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,I don't take drugs,I do not use drugs,Alone,Depression/Tension/Guilt/Anger/Anxiety/Inferiority,Yes,Average,Medium,No,None,I have no idea,No,No,No,"No, I don't",Not applicable,Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/ Relatives,Yes,Alcohol,Social Trend,Others,Alone,None,No,Satisfactory,Medium,No,Few (1-4),No,Yes,Yes,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
